City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
284,Kutum,SD,84.13,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
288,El Vendrell,ES,86.34,overcast clouds,41.22,1.53,Hotel Antiga
289,Kattivakkam,IN,86.09,overcast clouds,13.22,80.32,Euronova Freezer
291,Vittoria,IT,80.74,clear sky,36.95,14.53,La casa di Jo
292,Korla,CN,81.75,clear sky,41.76,86.15,Gulisitan Hotel
293,Halifax,CA,85.89,scattered clouds,44.65,-63.57,Hotel Halifax
299,Brufut,GM,77.09,thunderstorm with light rain,13.38,-16.75,Gambia Hotel Resort & Spa
300,Keti Bandar,PK,83.43,overcast clouds,24.14,67.45,Haji laloo memon house
304,Anloga,GH,75.7,broken clouds,5.79,0.9,Pin Drop Hotel
309,Kindu,CD,79.11,overcast clouds,-2.95,25.95,Résidence Okanda
311,Meulaboh,ID,76.44,overcast clouds,4.14,96.13,Kost Pria
312,Terra Santa,BR,82.53,overcast clouds,-2.1,-56.49,Igreja da paz
314,Eyl,SO,78.03,overcast clouds,7.98,49.82,DAAWAD HOTEL EYL
315,Manta,EC,76.78,scattered clouds,-0.95,-80.73,Balandra Hotel
317,Dalbandin,PK,86.88,broken clouds,28.89,64.41,Circuit House
323,Mogadishu,SO,75.76,light rain,2.04,45.34,Hotel Juba
325,Campobasso,IT,80.1,clear sky,41.63,14.58,Tre Archi
327,Garowe,SO,79.79,overcast clouds,8.41,48.48,Curubo Hotel
328,Sur,OM,87.6,overcast clouds,22.57,59.53,Sur Plaza Hotel
331,Kumluca,TR,84.78,clear sky,36.37,30.29,Akkol Apart
335,Kabinda,CD,78.53,overcast clouds,-6.13,24.48,Village Mianda Mutole
345,Ushtobe,KZ,76.93,clear sky,45.25,77.98,"Gostinitsa ""Diyar"""
354,Campoverde,PE,89.29,few clouds,-8.48,-74.81,"Hospedaje ""Señor De Muruhuay"""
356,Matara,LK,77.9,overcast clouds,5.95,80.54,Amaloh Boutique Resort
357,Salalah,OM,77.52,broken clouds,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
360,Barkhan,PK,77.9,overcast clouds,29.9,69.53,Sardar
362,Kalmeshwar,IN,78.42,very heavy rain,21.23,78.9,SPOT ON 76579 Purushottam Service Apartment
371,Aquiraz,BR,84.29,broken clouds,-3.9,-38.39,Hotel Laguna Blu
377,San Rafael Del Sur,NI,85.17,overcast clouds,11.85,-86.44,Hospedaje El Chino
378,Puerto Cabezas,NI,82.36,light thunderstorm,14.04,-83.39,Tour Operadora ASLA
381,Big Rapids,US,89.1,clear sky,43.7,-85.48,"Holiday Inn Big Rapids, an IHG Hotel"
383,Cassilandia,BR,86.85,clear sky,-19.11,-51.73,Delirius Motel
384,Bandarbeyla,SO,77.34,broken clouds,9.49,50.81,JABIR HOTEL
386,Pedernales,DO,89.58,broken clouds,18.04,-71.74,Hotel Costa Marina
393,Grand-Santi,GF,81.18,scattered clouds,4.25,-54.38,Hotel La Villa Couacou
397,Saint-Raymond,CA,85.82,few clouds,45.47,-73.61,Comfort Suites Downtown
400,Sahagun,CO,86.97,overcast clouds,8.95,-75.44,Hotel 5ta Avenida
401,Fredericton,CA,86.43,few clouds,45.95,-66.67,"Crowne Plaza Fredericton-Lord Beaverbrook, an IHG Hotel"
402,Bonthe,SL,76.98,light rain,7.53,-12.51,Bonthe Holiday Village
403,Vilhena,BR,86.22,scattered clouds,-12.74,-60.15,Hotel Mirage
407,Surt,LY,79.66,clear sky,31.21,16.59,مقر سكني في سرت
411,Ilebo,CD,78.94,overcast clouds,-4.32,20.58,Hôtel BUMAK
