,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
72,Villazon,BO,-22.09,-65.59,63.46,7,24,5.99,few clouds
73,Lagoa,PT,39.05,-27.98,72.61,90,100,9.17,overcast clouds
74,Bathsheba,BB,13.22,-59.52,86.61,78,20,17.27,few clouds
75,Nokaneng,BW,-19.67,22.27,65.77,39,51,6.2,broken clouds
76,Nantucket,US,41.28,-70.10,89.74,74,0,6.91,clear sky
77,Brae,GB,60.40,-1.35,51.71,76,100,8.81,overcast clouds
78,Upernavik,GL,72.79,-56.15,42.37,94,100,22.77,overcast clouds
79,Port Elizabeth,ZA,-33.92,25.57,59.31,67,0,11.5,clear sky
80,Narasannapeta,IN,18.42,84.05,80.85,86,100,1.59,overcast clouds
81,Jibuti,DJ,11.50,42.50,90.86,37,41,5.12,scattered clouds
82,Randolph,US,35.70,-79.82,92.98,51,0,4.61,clear sky
83,Castro,BR,-24.79,-50.01,68.2,60,55,4.25,broken clouds
84,Harper,LR,4.38,-7.72,75.7,71,59,8.55,broken clouds
85,Berlevag,NO,70.86,29.09,55.2,87,100,16.11,overcast clouds
86,Saint-Francois,FR,46.42,3.91,78.24,53,0,3.44,clear sky
87,Nouadhibou,MR,20.93,-17.03,78.78,78,41,9.22,scattered clouds
88,Coihaique,CL,-45.58,-72.07,26.55,86,75,6.91,broken clouds
89,Zheleznodorozhnyy,RU,55.75,38.00,68.61,72,0,5.44,clear sky
90,Tucurui,BR,-3.77,-49.67,87.98,47,23,3.42,few clouds
91,Sao Miguel Do Iguacu,BR,-25.35,-54.24,83.28,63,98,4.29,overcast clouds
92,Camacha,PT,33.08,-16.33,67.42,68,75,16.11,broken clouds
93,Robertsport,LR,6.75,-11.37,78.01,79,91,15.28,overcast clouds
94,Mazyr,BY,52.05,29.25,62.91,75,2,4.65,clear sky
95,Mehamn,NO,71.04,27.85,53.55,87,75,14.97,light intensity drizzle
96,Ciudad Bolivar,VE,8.12,-63.55,91.29,43,50,11.43,scattered clouds
97,Cockburn Town,TC,21.46,-71.14,79.16,84,100,20.4,overcast clouds
98,Hithadhoo,MV,-0.60,73.08,81.54,73,100,7.81,overcast clouds
99,San-Pedro,CI,4.75,-6.64,75.38,75,19,6.4,few clouds
100,Ponta Delgada,PT,37.73,-25.67,74.12,78,20,8.05,few clouds
101,Dzerzhinsk,RU,56.24,43.46,62.42,88,20,0.0,few clouds
102,Mar Del Plata,AR,-38.00,-57.56,51.82,70,0,9.22,clear sky
103,Longyearbyen,SJ,78.22,15.64,48.04,93,75,5.75,broken clouds
104,Alta Floresta,BR,-9.88,-56.09,96.62,23,20,2.3,few clouds
105,Odesskoye,RU,54.21,72.97,55.35,80,0,6.06,clear sky
106,Novyy Svit,UA,47.81,38.02,60.19,84,12,7.52,few clouds
107,Derzhavinsk,KZ,51.10,66.32,63.81,66,79,5.91,broken clouds
108,Praia Da Vitoria,PT,38.73,-27.07,77.25,83,75,2.37,broken clouds
109,Mahebourg,MU,-20.41,57.70,70.09,83,75,12.66,broken clouds
110,Luderitz,NA,-26.65,15.16,59.32,69,77,15.32,broken clouds
111,Lodja,CD,-3.48,23.43,79.65,41,100,2.95,overcast clouds
112,Darnah,LY,32.77,22.64,78.31,69,0,13.06,clear sky
113,Neyshabur,IR,36.21,58.80,85.01,19,0,2.48,clear sky
114,Oum Hadjer,TD,13.30,19.70,77.97,63,100,9.24,overcast clouds
115,Mosjoen,NO,65.84,13.19,52.32,76,75,3.44,broken clouds
116,Zhob,PK,31.34,69.45,76.62,70,54,4.36,broken clouds
117,Araouane,ML,18.90,-3.53,95.22,32,76,9.86,broken clouds
118,Salto Del Guaira,PY,-24.06,-54.31,78.21,46,89,5.91,overcast clouds
119,Codrington,AU,-38.27,141.97,51.44,92,100,12.24,light rain
120,Marau,BR,-28.45,-52.20,75.15,84,100,3.13,overcast clouds
121,Lebu,CL,-37.62,-73.65,53.78,95,100,12.21,overcast clouds
122,Staryy Nadym,RU,65.61,72.68,45.52,95,100,6.31,overcast clouds
123,Adrar,MR,20.50,-10.07,95.31,34,51,4.05,broken clouds
124,Luanda,AO,-8.84,13.23,69.8,88,20,5.75,few clouds
125,Harer,ET,9.31,42.13,59.63,76,36,6.87,scattered clouds
126,Maceio,BR,-9.67,-35.74,74.64,88,100,11.5,mist
127,Dingle,PH,11.00,122.67,76.32,92,86,4.74,overcast clouds
128,Muromtsevo,RU,56.37,75.24,53.94,81,51,5.53,broken clouds
129,Zyryanovsk,KZ,49.74,84.27,55.67,91,0,2.01,clear sky
130,San Jorge,AR,-31.90,-61.86,75.99,45,44,8.99,scattered clouds
131,Valparaiso,CL,-33.04,-71.63,58.64,82,1,13.8,mist
132,Ponta Do Sol,PT,32.67,-17.10,74.71,75,4,6.51,clear sky
133,Askoy,NO,60.41,5.23,66.96,80,0,8.05,clear sky
134,Chiriqui Grande,PA,8.95,-82.12,83.95,74,81,4.9,broken clouds
135,Kargasok,RU,59.06,80.86,49.98,91,36,12.66,scattered clouds
136,Agropoli,IT,40.35,15.00,80.1,88,0,2.19,clear sky
137,Arraial Do Cabo,BR,-22.97,-42.03,78.76,78,0,13.8,clear sky
138,Riyadh,SA,24.69,46.72,98.74,15,30,10.42,scattered clouds
139,Maracacume,BR,-2.04,-45.96,82.15,68,91,2.37,overcast clouds
140,Havelock,US,34.88,-76.90,89.58,82,75,12.66,broken clouds
141,Iqaluit,CA,63.75,-68.51,53.33,76,75,4.61,broken clouds
142,Sao Joao Da Barra,BR,-21.64,-41.05,78.89,81,0,13.71,clear sky
143,Clyde River,CA,70.47,-68.59,55.63,62,75,16.11,broken clouds
144,Gospic,HR,44.55,15.37,74.89,52,0,3.44,clear sky
145,Paamiut,GL,61.99,-49.67,45.3,85,6,6.98,clear sky
146,Narsaq,GL,60.92,-46.05,55.2,61,56,4.85,broken clouds
147,Waddan,LY,29.16,16.14,84.36,27,0,8.46,clear sky
148,Horodnytsya,UA,50.81,27.32,64.13,70,0,4.5,clear sky
149,Uribia,CO,11.71,-72.27,94.37,39,85,20.02,overcast clouds
150,Tasiilaq,GL,65.61,-37.64,41.22,71,35,8.16,scattered clouds
151,Tranas,SE,58.04,14.98,62.38,72,98,3.4,overcast clouds
152,Salta,AR,-24.79,-65.41,75.79,45,40,2.3,scattered clouds
153,Barcelona,ES,41.39,2.16,88.61,71,0,8.05,clear sky
154,Mossendjo,CG,-2.95,12.73,70.45,71,74,3.15,broken clouds
155,Xacmaz,AZ,41.46,48.81,71.71,70,0,7.87,clear sky
156,Laguna,US,38.42,-121.42,99.32,26,0,4.61,clear sky
157,George Town,MY,5.41,100.34,78.73,97,20,3.44,few clouds
158,Santa Ana,US,33.75,-117.87,96.85,57,40,10.36,scattered clouds
159,Kudahuvadhoo,MV,2.67,72.89,82.76,74,99,15.01,overcast clouds
160,York,US,40.13,-77.00,94.62,41,0,8.05,clear sky
161,Gat,IL,31.61,34.76,80.82,100,2,4.21,clear sky
162,Sao Felix Do Xingu,BR,-6.64,-51.99,93.65,23,9,3.8,clear sky
163,Tombouctou,ML,20.00,-3.00,101.73,18,1,3.36,clear sky
164,Trincomalee,LK,8.57,81.23,80.74,78,100,22.17,overcast clouds
165,Klaksvik,FO,62.23,-6.59,52.72,82,100,5.73,overcast clouds
166,Romanovka,RU,51.74,42.75,58.62,87,59,6.51,broken clouds
167,Kruisfontein,ZA,-34.00,24.73,50.88,75,100,5.86,overcast clouds
168,Grezzana,IT,45.52,11.02,86.86,55,0,3.44,clear sky
169,Alingsas,SE,57.93,12.53,62.78,84,100,3.24,overcast clouds
170,Bud,US,39.45,-86.18,92.98,46,5,4.25,clear sky
171,Alappuzha,IN,9.49,76.33,78.01,86,100,8.23,light rain
172,Comodoro Rivadavia,AR,-45.87,-67.50,42.66,33,0,8.05,clear sky
173,Georgetown,MY,5.41,100.34,78.73,97,20,3.44,few clouds
174,Lardos,GR,36.09,28.02,85.82,51,0,3.62,clear sky
175,Puerto Escondido,MX,15.85,-97.07,90.43,58,75,8.05,broken clouds
176,Saint-Pierre,RE,-21.34,55.48,68.92,73,20,4.61,few clouds
177,Los Llanos De Aridane,ES,28.66,-17.92,74.12,83,20,16.11,few clouds
178,Kagadi,UG,0.96,30.80,65.97,55,18,3.53,few clouds
179,Aripuana,BR,-9.17,-60.63,95.94,24,45,1.92,scattered clouds
180,Rocha,UY,-34.48,-54.33,60.15,85,50,5.48,scattered clouds
181,Andahuaylas,PE,-13.66,-73.39,68.09,41,0,9.31,clear sky
182,Mandaguacu,BR,-23.35,-52.10,83.8,32,0,11.5,clear sky
183,Callaway,US,30.15,-85.57,87.91,74,100,1.99,overcast clouds
184,Koppies,ZA,-27.24,27.57,58.68,44,99,5.1,overcast clouds
185,Manacapuru,BR,-3.30,-60.62,85.5,64,80,0.31,broken clouds
186,Vangaindrano,MG,-23.35,47.60,64.54,87,16,2.44,few clouds
187,Sao Filipe,CV,14.90,-24.50,75.96,78,84,4.16,broken clouds
188,Barra Do Garcas,BR,-15.89,-52.26,91.98,24,0,4.61,clear sky
189,Goderich,CA,43.75,-81.72,79.12,61,0,6.91,clear sky
190,Zaraza,VE,9.35,-65.32,95.22,32,18,8.21,few clouds
191,Porteirinha,BR,-15.74,-43.03,82.62,28,9,8.52,clear sky
192,Bartica,GY,6.40,-58.62,89.92,63,44,5.73,scattered clouds
193,Amlame,TG,7.47,0.90,71.65,93,96,2.15,light rain
194,Bom Jardim,BR,-7.80,-35.59,71.24,86,85,11.27,overcast clouds
195,Raudeberg,NO,61.99,5.14,59.67,84,71,24.54,broken clouds
196,Dikson,RU,73.51,80.55,51.82,76,72,12.37,broken clouds
197,Magnitka,RU,55.35,59.70,57.25,92,78,3.56,broken clouds
198,Vardo,NO,70.37,31.11,53.58,82,40,2.3,scattered clouds
199,Puerto Madryn,AR,-42.77,-65.04,44.82,32,100,3.87,overcast clouds
200,Caravelas,BR,-17.71,-39.25,72.61,78,4,5.32,clear sky
201,Jalu,LY,29.03,21.55,82.15,42,0,15.23,clear sky
202,Nioaque,BR,-21.14,-55.83,91.67,21,21,6.8,few clouds
203,Alindao,CF,5.03,21.21,68.9,96,100,4.47,overcast clouds
204,Nalut,LY,30.33,10.85,86.29,19,0,9.37,clear sky
205,Coquimbo,CL,-29.95,-71.34,55.13,87,100,6.91,overcast clouds
206,Avila,ES,40.58,-5.00,75.18,16,91,5.97,overcast clouds
207,Santa Maria,BR,-29.68,-53.81,72.7,78,75,4.61,moderate rain
208,Kochevo,RU,59.60,54.31,62.51,74,99,2.77,overcast clouds
209,Bengkulu,ID,-3.80,102.27,75.42,88,95,4.09,overcast clouds
210,Terme,TR,41.21,36.97,65.71,88,0,6.2,clear sky
211,Gazanjyk,TM,39.24,55.52,79.61,73,0,14.83,clear sky
212,Buraydah,SA,26.33,43.98,99.05,11,17,9.08,few clouds
213,Nizhniy Baskunchak,RU,48.22,46.83,72.21,46,0,6.93,clear sky
214,Kambove,CD,-10.88,26.60,61.59,47,11,4.65,few clouds
215,Port-Gentil,GA,-0.72,8.78,75.16,83,20,13.8,few clouds
216,Santa Rosa,PH,14.31,121.11,82.38,85,78,5.01,broken clouds
217,Antofagasta,CL,-23.65,-70.40,58.28,76,98,7.74,overcast clouds
218,Carballo,ES,43.21,-8.69,68.02,80,0,9.51,clear sky
219,Puerto Carreno,CO,6.19,-67.49,87.78,66,40,6.91,scattered clouds
220,Saint Anthony,US,45.02,-93.22,93.92,39,2,4.0,clear sky
221,Ipoti,NG,7.87,5.08,68.95,97,87,3.83,moderate rain
222,Estelle,US,29.85,-90.11,93.99,64,75,5.01,thunderstorm
223,Morant Bay,JM,17.88,-76.41,89.22,72,10,14.0,clear sky
224,Shelburne,CA,44.08,-80.20,83.16,38,62,15.1,broken clouds
225,Kidal,ML,18.44,1.41,99.64,14,96,7.31,overcast clouds
226,Saint-Leu,RE,-21.15,55.28,68.32,70,2,1.92,clear sky
227,Colares,PT,38.80,-9.45,74.39,68,20,16.11,few clouds
